error: POST en /api/sessions/register -- 15:23:43
error: GET en /register -- 15:41:26
error: POST en /register -- 15:49:31 -- error al registrar usuairo 
error: GET en /register -- 15:59:21
error: POST en /register -- 15:59:32 -- error al registrar usuairo 
error: GET en api/products/650263389f8c00579ae3 -- status: 500 -- 23:50:25
error: GET en api/products/650263389f8c00579ae31 -- status: 500 -- 00:03:19
error: GET en api/products/6502246b0186fc70f0e5 -- status: 500 -- 09:39:24
error: PUT en api/products/6502246b0186fc70f0e5b364 -- status: 500 -- 10:15:50
error: PUT en api/products/6502246b0186fc70f0e5b364 -- status: 500 -- 10:16:38
error: PUT en api/products/6502246b0186fc70f0e5b364 -- status: 500 -- 10:19:15
error: PUT en api/products/6502246b0186fc70f0e5b364 -- status: 500 -- 10:19:39
error: PUT en api/products/6502246b0186fc70f0e5b364 -- status: 500 -- 10:21:50
error: PUT en api/products/6502246b0186fc70f0e5b364 -- status: 500 -- 10:23:44
error: DELETE en api/products/650263389f8c00579ae32 -- status: 500 -- 11:16:45
error: DELETE en api/products/650263389f8c00579ae32 -- status: 500 -- 11:16:58
error: DELETE en api/products/650263389f8c00579ae32 -- status: 500 -- 11:17:02
